<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>			
0.12	-0.0053	0.0013	0.046	0.35	0.12	0.39	9.69	3.80
0.17	-0.0001	0.0016	0.049	0.33	0.17	0.43	9.44	3.83
0.22	-0.0030	0.0020	0.051	0.33	0.22	0.46	9.30	3.87
0.27	0.0003	0.0023	0.052	0.32	0.27	0.48	9.20	3.91
0.32	-0.0006	0.0027	0.054	0.31	0.32	0.50	9.12	3.93
0.37	-0.0010	0.0031	0.054	0.31	0.37	0.52	9.06	3.95
0.42	0.0016	0.0035	0.055	0.31	0.42	0.54	9.01	3.95
0.47	0.0024	0.0041	0.055	0.31	0.47	0.56	8.97	3.94
0.55	0.0018	0.0035	0.056	0.30	0.55	0.58	8.91	3.91
0.65	0.0142	0.0044	0.056	0.30	0.65	0.60	8.85	3.84
0.75	0.0178	0.0056	0.054	0.29	0.75	0.59	8.81	3.66
0.88	0.0291	0.0057	0.050	0.29	0.88	0.51	8.71	3.28
