<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.15	-0.0040	0.0021	0.049	0.32	0.22	0.15	9.22	3.57
0.25	-0.0049	0.0018	0.048	0.32	0.23	0.25	9.25	3.56
0.35	-0.0023	0.0018	0.047	0.33	0.24	0.35	9.37	3.58
0.45	-0.0057	0.0020	0.046	0.34	0.24	0.45	9.51	3.64
0.55	-0.0031	0.0024	0.046	0.35	0.26	0.55	9.65	3.71
0.65	-0.0041	0.0029	0.045	0.36	0.27	0.65	9.79	3.76
0.75	-0.0020	0.0035	0.044	0.37	0.29	0.75	9.95	3.81
0.89	-0.0096	0.0034	0.043	0.38	0.30	0.89	10.17	3.88
1.12	-0.0101	0.0048	0.041	0.41	0.33	1.12	10.55	4.02
1.57	-0.0094	0.0078	0.041	0.46	0.36	1.57	11.26	4.49
