<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.15	0.0087	0.0030	0.054	0.30	0.36	0.15	8.94	3.69
0.25	0.0041	0.0025	0.054	0.30	0.36	0.25	8.87	3.70
0.35	0.0054	0.0024	0.053	0.30	0.36	0.35	8.92	3.70
0.45	0.0022	0.0025	0.054	0.30	0.36	0.45	8.97	3.80
0.55	-0.0013	0.0028	0.053	0.31	0.37	0.55	9.06	3.88
0.65	-0.0003	0.0032	0.053	0.32	0.38	0.65	9.17	3.95
0.75	-0.0036	0.0038	0.052	0.33	0.39	0.75	9.29	4.03
0.89	-0.0067	0.0036	0.052	0.34	0.41	0.89	9.49	4.16
1.12	0.0003	0.0048	0.051	0.36	0.43	1.12	9.87	4.45
1.58	-0.0125	0.0073	0.053	0.42	0.44	1.58	10.68	5.27
