<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.006	-0.0081	0.0058	0.006	0.68	0.36	0.54	14.20	1.27
0.011	0.0000	0.0030	0.011	0.48	0.37	0.53	11.87	1.57
0.018	0.0008	0.0026	0.018	0.36	0.37	0.52	10.05	1.88
0.028	0.0007	0.0022	0.028	0.27	0.37	0.50	8.58	2.23
0.044	0.0028	0.0024	0.044	0.23	0.37	0.50	7.91	3.04
0.073	0.0037	0.0025	0.073	0.23	0.37	0.50	7.72	5.01
0.120	-0.0015	0.0036	0.120	0.22	0.37	0.50	7.41	7.90
0.175	0.0034	0.0041	0.175	0.22	0.37	0.49	7.10	11.29
0.250	0.0070	0.0056	0.250	0.22	0.38	0.50	6.76	16.18
0.377	0.0063	0.0064	0.377	0.22	0.38	0.53	6.18	24.35
0.638	0.0211	0.0184	0.638	0.21	0.41	0.78	4.73	41.04
