<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.15	0.0019	0.0019	0.053	0.31	0.23	0.15	9.04	3.75
0.25	0.0005	0.0017	0.052	0.31	0.23	0.25	9.08	3.74
0.35	0.0020	0.0017	0.051	0.32	0.24	0.35	9.18	3.75
0.45	-0.0025	0.0018	0.050	0.32	0.25	0.45	9.29	3.81
0.55	-0.0014	0.0021	0.050	0.33	0.27	0.55	9.41	3.86
0.65	-0.0021	0.0025	0.049	0.34	0.29	0.65	9.54	3.92
0.75	-0.0020	0.0031	0.048	0.35	0.30	0.75	9.68	3.98
0.89	-0.0058	0.0030	0.047	0.37	0.33	0.89	9.90	4.07
1.12	-0.0024	0.0042	0.046	0.39	0.35	1.12	10.30	4.30
1.57	-0.0140	0.0066	0.047	0.45	0.38	1.57	11.05	5.02
