<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.006	-0.0028	0.0040	0.006	0.68	0.24	0.50	14.21	1.27
0.011	0.0004	0.0021	0.011	0.49	0.25	0.49	11.92	1.58
0.018	-0.0024	0.0018	0.018	0.36	0.25	0.47	10.15	1.92
0.028	0.0005	0.0016	0.028	0.28	0.26	0.45	8.74	2.31
0.044	-0.0017	0.0017	0.044	0.24	0.27	0.44	8.09	3.18
0.073	-0.0006	0.0018	0.073	0.24	0.27	0.44	7.88	5.21
0.120	-0.0010	0.0027	0.120	0.23	0.27	0.44	7.54	8.20
0.174	0.0008	0.0031	0.174	0.22	0.27	0.44	7.23	11.70
0.250	-0.0001	0.0042	0.250	0.22	0.28	0.44	6.87	16.73
0.376	0.0016	0.0049	0.376	0.22	0.28	0.46	6.27	25.06
0.637	0.0166	0.0142	0.637	0.22	0.31	0.64	4.79	42.02
