<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.12	-0.0053	0.0014	0.045	0.36	0.12	0.39	9.81	3.75
0.17	-0.0039	0.0018	0.047	0.34	0.17	0.43	9.57	3.74
0.22	-0.0005	0.0021	0.048	0.34	0.22	0.46	9.45	3.72
0.27	-0.0030	0.0026	0.049	0.33	0.27	0.48	9.38	3.70
0.32	0.0015	0.0030	0.049	0.33	0.32	0.50	9.34	3.66
0.37	-0.0065	0.0036	0.049	0.33	0.37	0.52	9.31	3.61
0.42	-0.0089	0.0042	0.048	0.33	0.42	0.54	9.29	3.54
0.47	-0.0002	0.0048	0.047	0.32	0.47	0.55	9.28	3.47
0.55	-0.0143	0.0042	0.046	0.32	0.55	0.57	9.28	3.37
0.65	-0.0114	0.0054	0.045	0.32	0.65	0.57	9.26	3.20
0.75	-0.0205	0.0068	0.042	0.32	0.75	0.54	9.23	2.97
0.88	-0.0127	0.0068	0.039	0.31	0.88	0.45	9.08	2.64

