<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.15	-0.0038	0.0034	0.048	0.32	0.36	0.15	9.23	3.38
0.25	-0.0045	0.0028	0.048	0.31	0.35	0.25	9.11	3.39
0.35	-0.0026	0.0027	0.047	0.32	0.35	0.35	9.16	3.40
0.45	-0.0051	0.0029	0.048	0.32	0.35	0.45	9.22	3.51
0.55	-0.0027	0.0032	0.048	0.33	0.35	0.55	9.31	3.61
0.65	-0.0051	0.0037	0.048	0.33	0.36	0.65	9.42	3.68
0.75	0.0016	0.0044	0.047	0.34	0.37	0.75	9.55	3.76
0.89	-0.0107	0.0042	0.047	0.35	0.39	0.89	9.74	3.88
1.12	-0.0088	0.0057	0.045	0.38	0.41	1.12	10.12	4.08
1.58	-0.0027	0.0087	0.045	0.43	0.42	1.58	10.88	4.62
