<var>	A	er_stat	<x>	<y>	<z>	<p_T>	<W>	<Q^2>
0.006	-0.0093	0.0060	0.006	0.68	0.37	0.52	14.26	1.27
0.011	0.0046	0.0032	0.011	0.49	0.36	0.52	11.92	1.58
0.018	-0.0062	0.0028	0.018	0.36	0.36	0.51	10.11	1.90
0.028	-0.0012	0.0025	0.028	0.27	0.37	0.49	8.64	2.26
0.044	-0.0060	0.0027	0.044	0.24	0.36	0.49	7.96	3.08
0.073	-0.0004	0.0029	0.073	0.23	0.36	0.49	7.75	5.03
0.119	-0.0060	0.0045	0.119	0.22	0.35	0.49	7.43	7.93
0.174	-0.0179	0.0052	0.174	0.22	0.35	0.49	7.12	11.30
0.250	-0.0208	0.0072	0.250	0.22	0.35	0.49	6.77	16.15
0.377	-0.0233	0.0084	0.377	0.22	0.35	0.52	6.18	24.30
0.639	0.0117	0.0239	0.639	0.21	0.37	0.77	4.70	40.79
