 # Mon Nov 10 17:08:36 2008
 # MSTW 2008 NLO PDF grid for eigenvector  -6.
 # distance(t),tolerance(T) =   6.11531  6.18008314
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -1.7524E+01  1.2645E+00  1.2694E+00  4.2052E-01  0.0000E+00  0.0000E+00  7.3939E-06  4.9320E-03  1.8679E-05
 -1.8039E+01  1.1515E+00  1.1566E+00  3.1832E-01  0.0000E+00  0.0000E+00  1.5191E-05  5.0636E-03  1.8981E-05
 -1.8070E+01  1.0853E+00  1.0904E+00  2.5986E-01  0.0000E+00  0.0000E+00  2.1595E-05  5.1623E-03  1.9205E-05
 -1.7380E+01  1.0268E+00  1.0320E+00  2.1157E-01  0.0000E+00  0.0000E+00  3.0986E-05  5.2951E-03  1.9502E-05
 -1.7380E+01  1.0268E+00  1.0320E+00  2.1157E-01 -5.9326E-08  0.0000E+00  3.0986E-05  5.2951E-03  1.9502E-05
 -1.5919E+01  1.0106E+00  1.0159E+00  2.0348E-01 -1.1089E-02  0.0000E+00  3.9644E-05  5.4051E-03  1.9745E-05
 -1.3668E+01  1.0269E+00  1.0324E+00  2.2728E-01  1.1195E-02  0.0000E+00  4.8423E-05  5.5097E-03  1.9972E-05
 -1.0934E+01  1.0688E+00  1.0743E+00  2.7535E-01  5.8028E-02  0.0000E+00  5.6338E-05  5.5989E-03  2.0164E-05
 -7.5161E+00  1.1353E+00  1.1409E+00  3.4769E-01  1.2924E-01  0.0000E+00  6.4219E-05  5.6837E-03  2.0345E-05
 -2.9258E+00  1.2367E+00  1.2424E+00  4.5502E-01  2.3545E-01  0.0000E+00  7.2892E-05  5.7729E-03  2.0534E-05
  1.9464E+00  1.3522E+00  1.3579E+00  5.7551E-01  3.5500E-01  0.0000E+00  8.0678E-05  5.8498E-03  2.0695E-05
