 # Mon Nov 10 17:34:22 2008
 # MSTW 2008 NLO PDF grid for eigenvector   20.
 # distance(t),tolerance(T) =   22.0078902  8.71854801
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.49128
 # alphaS(MZ) = 0.12018
 # alphaSorder,alphaSnfmax = 1, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
 -1.6054E+01  1.2858E+00  1.2908E+00  4.4082E-01  0.0000E+00  0.0000E+00  1.9982E-05  5.0600E-03 -4.7526E-03
 -1.6413E+01  1.1842E+00  1.1894E+00  3.4997E-01  0.0000E+00  0.0000E+00  2.9563E-05  5.2005E-03 -4.8272E-03
 -1.6317E+01  1.1266E+00  1.1318E+00  3.0010E-01  0.0000E+00  0.0000E+00  3.7343E-05  5.3058E-03 -4.8821E-03
 -1.5451E+01  1.0798E+00  1.0852E+00  2.6341E-01  0.0000E+00  0.0000E+00  4.8639E-05  5.4474E-03 -4.9548E-03
 -1.5451E+01  1.0798E+00  1.0852E+00  2.6341E-01 -3.1808E-08  0.0000E+00  4.8639E-05  5.4474E-03 -4.9548E-03
 -1.3861E+01  1.0733E+00  1.0788E+00  2.6495E-01 -1.0961E-04  0.0000E+00  5.8928E-05  5.5647E-03 -5.0137E-03
 -1.1487E+01  1.0987E+00  1.1042E+00  2.9775E-01  3.1963E-02  0.0000E+00  6.9291E-05  5.6761E-03 -5.0689E-03
 -8.6495E+00  1.1480E+00  1.1537E+00  3.5332E-01  8.6952E-02  0.0000E+00  7.8581E-05  5.7711E-03 -5.1153E-03
 -5.1383E+00  1.2216E+00  1.2273E+00  4.3259E-01  1.6572E-01  0.0000E+00  8.7791E-05  5.8614E-03 -5.1589E-03
 -4.5576E-01  1.3301E+00  1.3359E+00  5.4699E-01  2.7962E-01  0.0000E+00  9.7882E-05  5.9563E-03 -5.2041E-03
  4.4891E+00  1.4515E+00  1.4574E+00  6.7335E-01  4.0557E-01  0.0000E+00  1.0691E-04  6.0381E-03 -5.2427E-03
  1.0138E+01  1.5951E+00  1.6011E+00  8.2167E-01  5.5353E-01  0.0000E+00  1.1585E-04  6.1166E-03 -5.2792E-03
  1.5251E+01  1.7278E+00  1.7339E+00  9.5804E-01  6.8963E-01  0.0000E+00  1.2310E-04  6.1784E-03 -5.3078E-03
  3.6265E+01  2.2900E+00  2.2962E+00  1.5316E+00  1.2624E+00  0.0000E+00  1.4774E-04  6.3785E-03 -5.3987E-03
  3.6265E+01  2.2900E+00  2.2962E+00  1.5316E+00  1.2624E+00  5.6054E-08  1.4774E-04  6.3785E-03 -5.3987E-03
  4.1402E+01  2.4377E+00  2.4439E+00  1.6816E+00  1.4123E+00  1.7079E-01  1.5322E-04  6.4206E-03 -5.4174E-03
  5.8488E+01  2.9284E+00  2.9347E+00  2.1790E+00  1.9093E+00  6.6959E-01  1.6973E-04  6.5440E-03 -5.4717E-03
  7.9587E+01  3.5369E+00  3.5433E+00  2.7943E+00  2.5242E+00  1.2884E+00  1.8756E-04  6.6717E-03 -5.5270E-03
  1.0191E+02  4.1825E+00  4.1891E+00  3.4459E+00  3.1755E+00  1.9434E+00  2.0432E-04  6.7872E-03 -5.5761E-03
