 # Mon Nov 10 18:35:11 2008
 # MSTW 2008 NNLO PDF grid for eigenvector  -13.
 # distance(t),tolerance(T) =   2.93961  2.85739316
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.5894E+01  6.7776E-01  6.8222E-01  2.6135E-01  0.0000E+00  0.0000E+00 -5.7408E-07  4.4571E-03 -5.5434E-04  0.0000E+00  0.0000E+00
 -2.9524E+01  5.5299E-01  5.5756E-01  1.4001E-01  0.0000E+00  0.0000E+00  2.0304E-05  4.5952E-03 -5.4919E-04  0.0000E+00  0.0000E+00
 -3.2158E+01  4.7125E-01  4.7590E-01  6.0732E-02  0.0000E+00  0.0000E+00  3.5601E-05  4.6970E-03 -5.4590E-04  0.0000E+00  0.0000E+00
 -3.5308E+01  3.8154E-01  3.8630E-01 -2.5807E-02  0.0000E+00  0.0000E+00  5.5814E-05  4.8321E-03 -5.4216E-04  0.0000E+00  0.0000E+00
 -3.5265E+01  3.8197E-01  3.8674E-01 -2.5206E-02 -2.3286E-01  0.0000E+00  5.6405E-05  4.8385E-03 -5.4254E-04  2.3193E-11  0.0000E+00
 -3.7146E+01  3.3635E-01  3.4120E-01 -6.8381E-02 -2.8664E-01  0.0000E+00  7.3233E-05  4.9471E-03 -5.3965E-04  9.0650E-06  0.0000E+00
 -3.8292E+01  3.1455E-01  3.1949E-01 -8.7898E-02 -3.1302E-01  0.0000E+00  8.9149E-05  5.0506E-03 -5.3741E-04  1.6790E-05  0.0000E+00
 -3.8623E+01  3.1586E-01  3.2086E-01 -8.4696E-02 -3.1546E-01  0.0000E+00  1.0262E-04  5.1383E-03 -5.3580E-04  2.3009E-05  0.0000E+00
 -3.8256E+01  3.3668E-01  3.4175E-01 -6.2121E-02 -2.9807E-01  0.0000E+00  1.1533E-04  5.2212E-03 -5.3452E-04  2.8619E-05  0.0000E+00
 -3.7017E+01  3.8198E-01  3.8712E-01 -1.5010E-02 -2.5624E-01  0.0000E+00  1.2865E-04  5.3080E-03 -5.3342E-04  3.4225E-05  0.0000E+00
 -3.5148E+01  4.4235E-01  4.4755E-01  4.6883E-02 -1.9876E-01  0.0000E+00  1.4010E-04  5.3826E-03 -5.3266E-04  3.8832E-05  0.0000E+00
 -3.2539E+01  5.2146E-01  5.2672E-01  1.2743E-01 -1.2233E-01  0.0000E+00  1.5105E-04  5.4538E-03 -5.3209E-04  4.3057E-05  0.0000E+00
 -2.9882E+01  5.9924E-01  6.0455E-01  2.0633E-01 -4.6602E-02  0.0000E+00  1.5967E-04  5.5097E-03 -5.3174E-04  4.6264E-05  0.0000E+00
 -1.7132E+01  9.5766E-01  9.6311E-01  5.6824E-01  3.0552E-01  0.0000E+00  1.8762E-04  5.6900E-03 -5.3115E-04  5.5965E-05  0.0000E+00
 -1.6028E+01  9.5818E-01  9.6364E-01  5.6882E-01  3.0592E-01 -4.2684E-01  1.8802E-04  5.6928E-03 -5.3126E-04  5.6001E-05  5.5311E-13
 -1.2779E+01  1.0601E+00  1.0656E+00  6.7146E-01  4.0665E-01 -3.1663E-01  1.9389E-04  5.7298E-03 -5.3119E-04  5.7920E-05  1.6526E-06
 -7.3413E-01  1.4074E+00  1.4129E+00  1.0207E+00  7.5036E-01  1.8040E-02  2.1145E-04  5.8399E-03 -5.3119E-04  6.3373E-05  5.6834E-06
  1.4952E+01  1.8517E+00  1.8573E+00  1.4671E+00  1.1912E+00  4.5127E-01  2.2978E-04  5.9537E-03 -5.3143E-04  6.8716E-05  9.5872E-06
  3.2245E+01  2.3356E+00  2.3413E+00  1.9529E+00  1.6721E+00  9.2564E-01  2.4650E-04  6.0563E-03 -5.3184E-04  7.3300E-05  1.2879E-05
  5.2864E+01  2.9084E+00  2.9142E+00  2.5274E+00  2.2421E+00  1.4893E+00  2.6350E-04  6.1594E-03 -5.3241E-04  7.7694E-05  1.5982E-05
  7.2534E+01  3.4527E+00  3.4586E+00  3.0732E+00  2.7841E+00  2.0264E+00  2.7771E-04  6.2446E-03 -5.3299E-04  8.1179E-05  1.8405E-05
  9.9742E+01  4.2044E+00  4.2104E+00  3.8267E+00  3.5332E+00  2.7698E+00  2.9510E-04  6.3477E-03 -5.3382E-04  8.5221E-05  2.1171E-05
  1.2697E+02  4.9569E+00  4.9629E+00  4.5806E+00  4.2835E+00  3.5152E+00  3.1063E-04  6.4386E-03 -5.3466E-04  8.8646E-05  2.3476E-05
