 # Mon Nov 10 19:24:21 2008
 # MSTW 2008 NNLO PDF grid for eigenvector   8.
 # distance(t),tolerance(T) =   4.6225  4.75621487
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.45077
 # alphaS(MZ) = 0.11707
 # alphaSorder,alphaSnfmax = 2, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv         xcv         xbv
 -2.8353E+01  7.0054E-01  7.0578E-01  2.6653E-01  0.0000E+00  0.0000E+00  2.4418E-07  5.2445E-03 -5.7451E-04  0.0000E+00  0.0000E+00
 -3.2301E+01  5.4937E-01  5.5473E-01  1.1894E-01  0.0000E+00  0.0000E+00  2.2114E-05  5.3940E-03 -5.6937E-04  0.0000E+00  0.0000E+00
 -3.5207E+01  4.4751E-01  4.5296E-01  1.9651E-02  0.0000E+00  0.0000E+00  3.8135E-05  5.5041E-03 -5.6613E-04  0.0000E+00  0.0000E+00
 -3.8767E+01  3.3008E-01  3.3565E-01 -9.4463E-02  0.0000E+00  0.0000E+00  5.9308E-05  5.6500E-03 -5.6248E-04  0.0000E+00  0.0000E+00
 -3.8799E+01  3.3060E-01  3.3618E-01 -9.3773E-02 -2.2343E-01  0.0000E+00  5.9926E-05  5.6570E-03 -5.6288E-04  2.3648E-11  0.0000E+00
 -4.0999E+01  2.6082E-01  2.6649E-01 -1.6100E-01 -3.0376E-01  0.0000E+00  7.7551E-05  5.7741E-03 -5.6009E-04  9.2370E-06  0.0000E+00
 -4.2495E+01  2.1577E-01  2.2153E-01 -2.0366E-01 -3.5458E-01  0.0000E+00  9.4226E-05  5.8856E-03 -5.5796E-04  1.7096E-05  0.0000E+00
 -4.3148E+01  1.9695E-01  2.0279E-01 -2.2050E-01 -3.7814E-01  0.0000E+00  1.0834E-04  5.9800E-03 -5.5646E-04  2.3414E-05  0.0000E+00
 -4.3106E+01  1.9834E-01  2.0426E-01 -2.1727E-01 -3.8108E-01  0.0000E+00  1.2168E-04  6.0691E-03 -5.5529E-04  2.9107E-05  0.0000E+00
 -4.2231E+01  2.2287E-01  2.2886E-01 -1.9086E-01 -3.6096E-01  0.0000E+00  1.3565E-04  6.1624E-03 -5.5432E-04  3.4790E-05  0.0000E+00
 -4.0691E+01  2.6502E-01  2.7108E-01 -1.4711E-01 -3.2248E-01  0.0000E+00  1.4766E-04  6.2425E-03 -5.5367E-04  3.9456E-05  0.0000E+00
 -3.8412E+01  3.2639E-01  3.3251E-01 -8.4246E-02 -2.6453E-01  0.0000E+00  1.5916E-04  6.3189E-03 -5.5322E-04  4.3730E-05  0.0000E+00
 -3.6023E+01  3.8999E-01  3.9616E-01 -1.9484E-02 -2.0356E-01  0.0000E+00  1.6822E-04  6.3789E-03 -5.5296E-04  4.6972E-05  0.0000E+00
 -2.4187E+01  7.0121E-01  7.0753E-01  2.9539E-01  9.9587E-02  0.0000E+00  1.9760E-04  6.5722E-03 -5.5270E-04  5.6765E-05  0.0000E+00
